name,license_no,type,address_line_1,city,state,zip,phone,website,total_beds
CELEBRATION ADULT DAY CARE INC,12962284,assisted_living,10739 W FLAGLER ST,MIAMI,FL,33174-1421,(305) 631-2616,,43
CENTRAL PALACE RESIDENTIAL,11911829,assisted_living,4491 SW 8 STREET,MIAMI,FL,33134,(305) 445-3565,,55
CENTRO AXIS,12962098,assisted_living,6840 SW 40TH ST,MIAMI,FL,33155-3762,(305) 668-0634,www.centroaxis.com,65
"CENTURY ASSISTED LIVING FACILITY, INC",11965784,assisted_living,15900 SW 72ND TER,MIAMI,FL,33193-2937,(786) 597-2287,,8
CHALET AT OLD CUTLER (THE) LLC,11967486,assisted_living,7210 SW 148TH TERRACE,MIAMI,FL,33158,(305) 252-0031,,6
"CHANEL NURSING CARE ALF, CORP",11967448,assisted_living,14111 SW 43 STREET,MIAMI,FL,33175,(305) 553-3227,,6
CHARISSERVICE LLC,11953247,assisted_living,13720 SW 108 STREET,MIAMI,FL,33186,(786) 690-7218,,6
CHARITY CARE INC,11911036,assisted_living,461 E 31ST ST,HIALEAH,FL,33013-3332,(305) 693-6211,,20
"CHARM HOME MIAMI, LLC",11965823,assisted_living,13720 SW 13 ST,MIAMI,FL,33184,(786) 525-6809,,6
CHELY'S CARE ALF INC,11969695,assisted_living,10841 CORAL REEF DR,MIAMI,FL,33157,(786) 245-0651,,6
CLARA & ANGEL ALF INC,11967931,assisted_living,5180 NW 2 STREET,MIAMI,FL,33126,(786) 359-4534,,6
CLARIDGE HOUSE NURSING AND REHABILITATION CENTER,111306,snf,13900 NE 3RD CT,MIAMI,FL,33161-2834,(305) 893-2288,claridgehouse.care,240
CLARYS #2 CORP,11969643,assisted_living,7760 SW 29 ST,MIAMI,FL,33155,(786) 502-2102,,6
CLEON CORP FAMILY CARE INC,11968493,assisted_living,10168 NW 128TH TER,HIALEAH GDNS,FL,33018-1649,(305) 821-0788,,6
"COCONUT GROVE ADULT DAY CARE CENTER, INC",12962507,assisted_living,2440 SW 27TH AVE,MIAMI,FL,33145-3655,(786) 308-7260,www.coconutgroveadultdaycaremiami.com,35
COMFORT ADULT DAY CARE INC,12962591,assisted_living,10550 NW 77TH CT STE 409,HIALEAH GDNS,FL,33016-2073,(786) 675-5747,www.comfortadc.com,55
"COMFORT RESIDENCE, INC.",11943082,assisted_living,935 SW 9 STREET,MIAMI,FL,33130,(305) 860-9549,,13
COMPASSION SENIOR LIVING LLC,11953422,assisted_living,1045 WEST 23 STREET,HIALEAH,FL,33010,(305) 883-1915,,19
CONCEPT HEALTH SYSTEMS,32960522,assisted_living,162 NE 49TH ST,MIAMI,FL,33132,(305) 751-6501,www.concepthouse.org,40
"CONVERGENCE ADULT CARE, INC",12962790,assisted_living,5931 NW 173 DR STE 7-8,HIALEAH,FL,33015,(305) 603-9277,,60
"COPACABANA ADULT DAY CARE CENTER, CORP",12962188,assisted_living,3800 W 12TH AVE STE 2,HIALEAH,FL,33012-7792,(786) 433-0910,copacabanaadultdaycare.com,50
CORAL GABLES NURSING AND REHABILITATION CENTER,111307,snf,7060 SW 8TH STREET,MIAMI,FL,33144,(305) 261-1363,www.cgrehab.net,87
CORAL PARK SENIOR CARE OF MIAMI,11965494,assisted_living,9640 SW 10 TERRACE,MIAMI,FL,33174,(305) 457-8995,,6
CORAL REEF RESIDENTIAL CARE LLC,11970304,assisted_living,18530 NW 22ND CT,MIAMI GARDENS,FL,33056,(954) 300-7552,,6
CORAL REEF SUBACUTE CARE CENTER LLC,111356,snf,9869 SW 152ND STREET,MIAMI,FL,33157,(305) 255-3220,www.coralreefnursingandrehab.com,180
CORAL SAND INC,11964887,assisted_living,7800 ABBOTT AVE,MIAMI BEACH,FL,33141-2022,(786) 530-2002,,30
CORAL TERRACE ALF INC,11964681,assisted_living,6744 SW 22ND ST,MIAMI,FL,33155-1748,(305) 267-0073,,44
CORAL VILLA ADULT CARE INC,11965896,assisted_living,2860 SW 122 AVENUE,MIAMI,FL,33175,(786) 355-2759,,6
CORAL WAY SENIOR CARE INC,11966933,assisted_living,2451 SW 143 COURT,MIAMI,FL,33175,(305) 551-1439,,6
CORAL WEST ADULT DAY CARE INC,12962223,assisted_living,2370 SW 67TH AVE BLDG B,MIAMI,FL,33155-1846,(305) 722-4532,www.miamiadultdaycare.com,50
CORDERO RESIDENCE INC,11966183,assisted_living,4510 SW 106 AVENUE,MIAMI,FL,33165,(305) 226-6665,,6
CORDOBA ALF LLC,11969748,assisted_living,1135 SW 100 CT,MIAMI,FL,33174,(305) 972-0375,,6
CORNELL ALF INC,11966572,assisted_living,581-583 CENTRAL BLVD,MIAMI,FL,33144-2141,(305) 801-1162,,6
COURTYARD PLAZA,11911412,assisted_living,15520 NW 2 AVENUE,NORTH MIAMI BEACH,FL,33160,(305) 949-2626,www.courtyardalf.com,120
COZY CARE RESIDENCE ALF LLC,11968600,assisted_living,1130 NE 136TH ST,NORTH MIAMI,FL,33161-3818,(305) 741-5775,,6
CRESCENT ADULT DAY CARE INC,12962467,assisted_living,1550 W 84TH ST #65,HIALEAH,FL,33014,(305) 456-2098,,44
CRUZ FAMILY ALF NO 2 LLC,11970610,assisted_living,14930 SW 59 ST,MIAMI,FL,33193,(786) 535-4962,,12
CRUZ FAMILY HOME LLC,11970174,assisted_living,3037 SW 17 ST,MIAMI,FL,33145,(786) 536-9797,,14
CRYSTAL PARADISE ADULT DAY CARE INC,12962310,assisted_living,6355 SW 8TH ST,WEST MIAMI,FL,33144-4858,(305) 261-0030,,113
CUTLER BAY ASSISTED LIVING FACILITY CORP,11967082,assisted_living,8640 SW 185 STREET,MIAMI,FL,33157,(786) 250-3018,,6
CUTLER BAY VILLAGE ALF,11968099,assisted_living,10425 SW 212TH ST,CUTLER BAY,FL,33189-3095,(305) 992-7672,cutlerbayvillagealf.com,47
"D&N HOME CARE SERVICES, INC",11966072,assisted_living,3635 W 13TH AVE,HIALEAH,FL,33012-4821,(305) 820-0671,,6
DADE COUNTY ADULT LIVING FACILITY GROUP CORP.,11967458,assisted_living,15135 SW 128 COURT,MIAMI,FL,33186,(305) 502-9555,,6
DAISY CUIDADO DE ANCIANOS INC,11965656,assisted_living,6510 NW 2ND ST,MIAMI,FL,33126-4402,(305) 262-0728,,6
DANIELLA'S CARE CENTER INC,11966552,assisted_living,4325 E 9TH LN,HIALEAH,FL,33013-2433,(305) 681-2780,,6
DANIELLA'S HOME CARE INC,11967096,assisted_living,15971 SW 42 TERRACE,MIAMI,FL,33185,(305) 922-8625,,6
"DAVI'S ALF, INC",11965715,assisted_living,14733 SW 113 LANE,MIAMI,FL,33196,(305) 382-3487,,6
DAVISITO'S 2 INC,11968533,assisted_living,13701 SW 71ST LN,MIAMI,FL,33183-2140,(305) 388-6879,,6
DAVISITO'S INC,11966280,assisted_living,6524 NW 197TH LANE,HIALEAH,FL,33015,(305) 624-1995,,6
"DBS BABY BOOMERS ADULT DAY, HEALTH & ENRICHMENT CENTER",12962403,assisted_living,14734 SW 56TH ST,MIAMI,FL,33185-4067,(786) 360-1258,,40
DEL REAL HOME CARE INC,11967008,assisted_living,13071 SW 260TH TER,HOMESTEAD,FL,33032-8912,(305) 257-0041,,6
DEL RIO HOME ALF INC,11968501,assisted_living,7611 NW 186 STREET,MIAMI,FL,33015,(786) 955-6468,,12
DELMAR ALF LLC,11965488,assisted_living,4229 SW 157TH CT,MIAMI,FL,33185-3800,(786) 307-6964,,6
DH HOME HEALTH SERVICES LLC,11966260,assisted_living,7080 SW 14 STREET,MIAMI,FL,33144,(786) 286-4810,,6
"DIANA HOME CARE I, CORP",11967098,assisted_living,7231 SW 7TH ST,MIAMI,FL,33144-2718,(305) 261-6997,,6
DIANA HOME CARE II,11966294,assisted_living,1725 SW 71 COURT,MIAMI,FL,33144,(305) 498-2369,,6
"DIAZ HOME CARE ALF II, INC.",11967711,assisted_living,12211 SW 268 STREET,HOMESTEAD,FL,33032,(786) 650-2615,,6
"DIAZ HOME CARE ALF, INC",11966915,assisted_living,13481 SW 268TH TER,HOMESTEAD,FL,33032-7649,(786) 339-9270,,6
DIOS DA EL MANA CORP,11967411,assisted_living,9980 SW 1 STREET,MIAMI,FL,33174,(305) 227-0753,,6
DIVINE LEISURE & ACTIVITY CENTER LLC,12962637,assisted_living,6500 W 4TH AVE,HIALEAH,FL,33012-6606,(786) 413-8657,www.divineleisurehialeah.com,46
DMQ ALF CORP,11970413,assisted_living,9700 NW 29TH AVE,MIAMI,FL,33147,(786) 238-5244,,6
DORA HOME CARE INC,11966538,assisted_living,260 EAST 61 STREET,HIALEAH,FL,33013,(305) 822-2628,N/A,6
"DOS GARDENIAS ADULT DAY CARE, LLC",12962733,assisted_living,13501 SW 136TH ST STE 103,MIAMI,FL,33186-8321,(786) 854-2505,,30
DOUBLE NINE SENIORS CLUB II INC,12962451,assisted_living,4670 W 4TH AVE,HIALEAH,FL,33012-3907,(305) 825-4459,,38
"DOUBLE NINE SENIORS CLUB, INC.",12962302,assisted_living,4719 PALM AVE,HIALEAH,FL,33012-4037,(305) 825-4459,,24
DOUGLAS GARDENS COMMUNITY MENTAL HEALTH CENTER OF MIAMI BEACH,32960388,assisted_living,1960 PARK AVE,MIAMI BEACH,FL,33139,(305) 604-3446,dgcmhc.org,42
DOUGLAS GARDENS COMMUNITY MENTAL HEALTH CENTER OF MIAMI BEACH,32910155,assisted_living,15501 NE 6 AVE,MIAMI,FL,33161,(305) 531-5341,www.dgcmhc.org,28
DOUGLAS GARDENS COMMUNITY MENTAL HEALTH CENTER OF MIAMI BEACH,32910093,assisted_living,17000 NORTHEAST 21ST AVENUE,NORTH MIAMI BEACH,FL,33162,(305) 945-5340,www.dgcmhc.org,36
DP & B ENTERPRISE INC,11967171,assisted_living,14290 SABAL DR,MIAMI LAKES,FL,33014-2539,(305) 512-1073,,6
DULCE HOGAR,11964534,assisted_living,120 NW 26TH AVE,MIAMI,FL,33125-5108,(305) 631-8872,,14
DULCE HOGAR SENIOR CENTERS LLC,12962976,assisted_living,3160 NW 79TH ST STE104,MIAMI,FL,33147,(786) 485-3992,,60
DULCE HOME ALF CORP,11967861,assisted_living,4001 SW 102ND CT,MIAMI,FL,33165-4942,(305) 228-8686,,6
DURA'S HOME LLC,11970517,assisted_living,9110 SW 32 ST,MIAMI,FL,33165,(786) 449-5803,,6
DURAN HOME CARE CORP.,11967072,assisted_living,26775 SW 129TH AVE,HOMESTEAD,FL,33032-6943,(786) 339-9658,,6
E & A PARADISE HOME INC,11965865,assisted_living,5925 SW 117 AVENUE,MIAMI,FL,33183,(305) 761-2194,,6
EAST GABLES RETIREMENT CENTER,11965104,assisted_living,3590-92 SW 16TH ST,MIAMI,FL,33145-1036,(305) 443-1985,,14
EAST RIDGE RETIREMENT VILLAGE INC,111358,snf,19225 SW 87TH AVE,CUTLER BAY,FL,33157-8984,(305) 256-3545,,74
"EASTER SEALS SOUTH FLORIDA, INC",12911516,assisted_living,1475 NW 14TH AVE,MIAMI,FL,33125-1616,(305) 325-0470,http://www.easterseals.com/southflorida/,50
EASTER SEALS THERAPEUTIC DAYCARE-KENDALL,12962579,assisted_living,11025 SW 84TH ST STE 12,MIAMI,FL,33173-3856,(305) 547-4750,https://www.easterseals.com/southflorida/,150
"EBENEZER FAMILY HOME II, INC",11968102,assisted_living,1024 SW 11TH ST,MIAMI,FL,33129-1817,(305) 857-9425,,6
EBENEZER FAMILY HOME III LLC,11967543,assisted_living,18309 SW 114TH CT,MIAMI,FL,33157-4989,(305) 256-9902,,6
EBENEZER FAMILY HOME INC,11953232,assisted_living,6690 WEST 14 AVENUE,HIALEAH,FL,33012,(305) 822-8223,,6
EDAD DE ORO SENIOR CARE INC,11966783,assisted_living,17891 SW 152 COURT,MIAMI,FL,33187,(786) 250-0024,,6
"EDEM HOME CARE, INC.",11965722,assisted_living,4783 NW 195TH ST,MIAMI GARDENS,FL,33055-2048,(305) 749-6464,,6
EILAZ HOME INC,11966087,assisted_living,12300 SW 31ST ST,MIAMI,FL,33175-2235,(305) 227-7261,,6
EL ALHAMBRA LLC,12962647,assisted_living,11300 NW 87TH CT # UNIT-151,HIALEAH,FL,33018-4586,(305) 456-0162,,18
EL COMEDOR ADULT DAY CARE CORP,12962734,assisted_living,8003 NW 95 ST STE 2,HIALEAH,FL,33016,(786) 351-5273,,24
EL EDEN ADULT DAYCARE CENTER CORP,12962594,assisted_living,12700 SW 122ND AVE STE 101,MIAMI,FL,33186-5271,(786) 592-2459,,55
EL EDEN CORP,11968281,assisted_living,10460 NW 129 STREET,HIALEAH GARDENS,FL,33018,(786) 488-2651,,8
EL JARDIN ADULT DAY CARE LLC,12962499,assisted_living,4195 SW 137TH AVE STE 5,MIAMI,FL,33175-6479,(305) 456-0122,,52
"EL PARAISO HOME, INC.",11943164,assisted_living,1540 SW 7TH ST,MIAMI,FL,33135-3706,(305) 649-0490,,14
EL PASEO SENIOR CARE CENTER CORP,12962486,assisted_living,1390 NW 7TH ST,MIAMI,FL,33125-3704,(786) 655-0939,elpaseoseniorcarecenter.com,82
EL PRADO SENIOR CLUB CORP,12962639,assisted_living,1800 W 68TH ST STE 101-105,HIALEAH,FL,33014-4404,(786) 246-6519,,90
"EL RENACER DE ANA, INC",11968292,assisted_living,5900 NW 7 STREET,MIAMI,FL,33126,(305) 261-9090,,6
"ELDER'S PLACE ADULT DAY CARE, LLC",12962435,assisted_living,12318 QUAIL ROOST DR,MIAMI,FL,33177-4930,(305) 878-4773,,25
ELDERLY R US LLC,11969267,assisted_living,2980 NW 84 TERR,MIAMI,FL,33147,(786) 953-7409,,6
ELENA PALACE CORP,11967347,assisted_living,4012 SW 154 COURT,MIAMI,FL,33185,(305) 613-3625,,6
ELIA'S HOME CARE INC,11966930,assisted_living,5600 SW 7TH ST,CORAL GABLES,FL,33134-1064,(305) 240-5762,,6
ELITE SENIOR CENTER INC,12962878,assisted_living,2190 NW 87TH AVE,DORAL,FL,33172,(786) 485-4195,,192
ELPA HOME CARE CENTER,11910910,assisted_living,9950 SW 83RD ST,MIAMI,FL,33173-4012,(305) 596-3824,,6
"EMERALD ADULT RECREATIONAL CENTER, INC",12962393,assisted_living,14228-30 SW 8ST,MIAMI,FL,33184,(305) 220-4720,,45
EN WILLOW HAVEN ALF LLC,11966216,assisted_living,1220 NE 207 STREET,MIAMI,FL,33179,(305) 846-7818,,6
ENDLESS YEARS ADULT CARE CENTER CORP,12962323,assisted_living,5931 NW 173RD DR UNIT 11,HIALEAH,FL,33015-5107,(305) 200-5221,,60
"ESENCIA DE LA VIDA ADULT DAY CARE, INC.",12962401,assisted_living,4750 W FLAGLER ST,CORAL GABLES,FL,33134-1452,(786) 488-3503,,35
ESPERANZA'S ALF INC,11969254,assisted_living,14336 SW 172 ST,MIAMI,FL,33177,(786) 816-0551,,6
ESTEVEZ HOME CARE CORP,11967405,assisted_living,3900 SW 122ND AVE,MIAMI,FL,33175,(786) 362-5198,,6
EVELYN'S PARADISE #1 LLC,11966989,assisted_living,11470 SW 80 TERRACE,MIAMI,FL,33173,(305) 412-4650,,6
EVELYN'S PARADISE LLC,11966549,assisted_living,120 APACHE STREET,MIAMI SPRINGS,FL,33166,(786) 470-4342,,6
EVERYDAY SUNSHINE DAYCARE CENTER INC,12962541,assisted_living,3750 W 16TH AVE STE 202,HIALEAH,FL,33012-4648,(786) 409-7912,,32
EVOLUTIONS TREATMENT CENTER,32960485,assisted_living,16565 NE 4 AVE,MIAMI,FL,33162,(305) 882-9360,www.evolutiontstreatment.com,33
"EXCELLENT GRANDPARENT PLACE, INC",11967575,assisted_living,13342 SW 6 STREET,MIAMI,FL,33184,(305) 456-3275,,6
EXCLUSIVE HOME,11965384,assisted_living,183 W 18TH ST,HIALEAH,FL,33010-2636,(305) 882-0114,,6
EYEA PALACE CORP,11966571,assisted_living,3654 SW 156TH COURT,MIAMI,FL,33185,(305) 896-2838,,6
FAIRLAWNS ALF LLC,11970135,assisted_living,911 NW 198 ST,MIAMI GARDENS,FL,33169,(305) 653-8465,,6
FAMILIA ADULT DAY CARE INC,12962664,assisted_living,5951 NW 173RD DR UNIT 10,MIAMI GARDENS,FL,33015-5113,(305) 923-2159,,25
FAMILY FIRST ALF INC,11967287,assisted_living,15600 SW 143RD AVENUE,MIAMI,FL,33177,(786) 732-6797,,6
FAMILY GROUP HOME LLC,11969792,assisted_living,11010 SW 38TH ST,MIAMI,FL,33165,(305) 603-9603,,6
FAMILY WELFARE LLC,11969304,assisted_living,26901 SW 143 CT,HOMESTEAD,FL,33032,(786) 377-3353,,6
FANTASTIC ADULT DAYCARE LLC,12962801,assisted_living,6878 SW 24 ST,MIAMI,FL,33155,(305) 456-0407,,29
"FARAH MICHELE A.L.F., INC",11964616,assisted_living,431 WEST 31 PLACE,HIALEAH,FL,33012,(305) 450-0108,,6
FEBA LIVING CARE INC,11964226,assisted_living,6120 N.W. 2ND ST,MIAMI,FL,33126,(305) 269-9279,,6
FELIX & OSCAR LLC,11969731,assisted_living,3271-3275 NW 106 ST,MIAMI,FL,33147,(786) 262-6209,,6
FELLOWSHIP HOUSE,32960290,assisted_living,27255 SW 144TH AVE,HOMESTEAD,FL,33032-7646,(305) 667-1036,www.fellowshiphouse.org,14
FELLOWSHIP HOUSE,32960322,assisted_living,1011 NW 37TH AVE,MIAMI,FL,33125-3838,(305) 667-1036,www.fellowshiphouse.org,14
FIESTA ADULT CENTER LLC,12962638,assisted_living,7816 NE 2ND AVE,MIAMI,FL,33138-4805,(786) 204-2827,,60
FINISTERRE ALF LLC,11963733,assisted_living,4124 SW 97 COURT,MIAMI,FL,33165,(305) 229-8907,,6
FIRST CHOICE COMFORT CARE 2 LLC,11968042,assisted_living,1660 NW 135TH ST,NORTH MIAMI,FL,33167-1608,(786) 534-8708,,14
FIVE STAR ASSISTED LIVING FACILITY INC,11969261,assisted_living,5384 NW 4 ST,MIAMI,FL,33126,(786) 953-4975,,14
FIVE STARS ALF INC,11969561,assisted_living,16151 SW 151 TERR,MIAMI,FL,33196,(786) 701-8288,,6
FLORIDA HOME CARE ALF INC,11967641,assisted_living,2931 NW 106TH STREET,MIAMI,FL,33147,(305) 693-1449,n/a,6
"FLORIDA PACE CENTERS, INC",12962345,assisted_living,2700 SW 97TH AVE,MIAMI,FL,33165-2675,(305) 704-7646,https://floridapacecenters.miamijewishhealth.org/,225
"FLORIDA PACE CENTERS, INC",12962213,assisted_living,60 E 3RD ST,HIALEAH,FL,33010-4973,(786) 347-2040,https://floridapacecenters.miamijewishhealth.org/,125
"FLORIDA PACE CENTERS, INC",12962845,assisted_living,14591 SW 120TH STE 100 200,MIAMI,FL,33186,(305) 751-8626,www.floridapacecenters.org,152
"FLORIDA PACE CENTERS, INC",12911520,assisted_living,5200 NE 2ND AVE,MIAMI,FL,33137-2706,(305) 795-8410,,150
FLORIDEAN HEALTH & REHABILITATION CENTER,111311,snf,47 NW 32ND PL,MIAMI,FL,33125-4914,(305) 649-2911,nspirehc.com,90
FOREVER YOUNG ADULT DAY CARE,12962829,assisted_living,14145 SW 119TH AVE,MIAMI,FL,33186,(786) 226-4884,,30
FOUNTAIN MANOR HEALTH & REHABILITATION CENTER,111302,snf,390 NE 135TH ST,NORTH MIAMI,FL,33161-3967,(305) 895-4804,FOUNTAINMANORHEALTH.COM,146
"FOUR SEASONS ELDER CARE ALF, INC.",11967647,assisted_living,6625 MIAMI LAKEWAY S,MIAMI LAKES,FL,33014-2748,(305) 200-3937,,6
GABLES ESTATES ALS INC,11964119,assisted_living,1881 SW 37TH AVE,MIAMI,FL,33145-1745,(786) 238-7333,,6
GABLES MANOR INDEPENDENT INC.,11943019,assisted_living,1535 VENETIA AVENUE,CORAL GABLES,FL,33134,(786) 409-3179,,6
"GABRIELS' HOME ALF, INC.",11911921,assisted_living,11232 SW 7TH ST,MIAMI,FL,33174-1151,(305) 229-9860,,8
GALENOS ADULT DAY CARE INC,12962929,assisted_living,8404 NW 103RD ST UNIT 1 2,HIALEAH GARDENS,FL,33016,(786) 420-5111,,95
GALLOWAY ADULT CARE INC,11967758,assisted_living,10740 SW 87TH AVE,MIAMI,FL,33176-3705,(305) 972-0375,,6
"GARDEN HILLS RETIREMENT CENTER, INC",11967039,assisted_living,10337 SW 159TH CT,MIAMI,FL,33196-6143,(305) 382-8712,,6
GARDEN WALK ASSISTED LIVING CORP,11911011,assisted_living,1760 EAST 1 AVENUE,HIALEAH,FL,33010,(305) 885-7733,,34
GARDENS HOME ALF LLC,11967678,assisted_living,18201 NW 57 AVENUE,MIAMI,FL,33055,(305) 974-2250,,6
GARDENS NURSING AND REHAB CENTER,111353,snf,190 NE 191ST STREET,MIAMI,FL,33179,(305) 651-9690,,120
GENESIS ADULT DAY CARE INC,12962742,assisted_living,4888 NW 183RD ST STE 108-109,MIAMI GARDENS,FL,33055-2900,(305) 974-5287,,50
GENESIS ALF 2 LLC,11970179,assisted_living,290 W 48 ST,HIALEAH,FL,33012,(305) 821-5577,,6
GILD ADULT DAYCARE LLC,12962312,assisted_living,18901 SW 106TH AVE # 118-A120 STE A,CUTLER BAY,FL,33157-7661,(305) 484-7057,,57
GLOBAL ADULT DAY CARE INC,12962995,assisted_living,14008 SW 8TH ST,MIAMI,FL,33184,(786) 395-6296,,25
GOLDEN AGE ADULT DAY CARE CORP,12962840,assisted_living,8950 SW 152 ST STE 101,PALMETTO BAY,FL,33157,(786) 603-9705,,26
"GOLDEN AGE ALF V, LLC",11967327,assisted_living,7861 NW 175TH ST,HIALEAH,FL,33015,(305) 400-8976,,6
"GOLDEN AGE ASSISTED LIVING FACILITY, CORP",11968393,assisted_living,5970 NW 3RD STREET,MIAMI,FL,33126,(305) 200-3156,,6
GOLDEN AGE DAY CENTER INC,12962285,assisted_living,30370 OLD DIXIE HWY,HOMESTEAD,FL,33030,(786) 252-7632,,50
"GOLDEN AGE FAMILY HOME II, INC",11967764,assisted_living,15962 SW 81 STREET,MIAMI,FL,33193,(305) 385-5498,,6
"GOLDEN GIRLS HOME, INC",11966939,assisted_living,15700 SW 102ND AVE,MIAMI,FL,33157-1655,(305) 333-0567,www.goldengirlshome.com,6
GOLDEN MEMORIES LLC,11964009,assisted_living,1162 WEST 30TH STREET,HIALEAH,FL,33012,(305) 819-8710,,6
"GOLDEN PALMS-ASSISTED LIVING FACILITY, INC.",11965572,assisted_living,7280 NW 169 STREET,MIAMI,FL,33015,(305) 826-9261,,6
"GOLDEN STREET ALF, CORP",11970143,assisted_living,23728 SW 115 AVE,HOMESTEAD,FL,33032,(786) 274-0144,,6
GOLDEN TIME ADULT DAY CARE,12962233,assisted_living,11980 SW 8TH ST STE 15,MIAMI,FL,33184-1668,(305) 552-6162,,38
GOLDEN YEARS FOR THE ELDERLY CORP,11965545,assisted_living,13184 S.W. 19 TERRACE,MIAMI,FL,33175,(305) 229-7007,,6
"GOLDEN YEARS PARADISE, INC",11969826,assisted_living,2104 SW 106 CT,MIAMI,FL,33165,(786) 633-5123,,6
"GOOD LIFE ALF, INC",11966920,assisted_living,7746 NW 201ST TER,HIALEAH,FL,33015-6643,(786) 547-7116,,6
GOOD STAND HOME CARE INC,11967063,assisted_living,721 NW 13TH AVE,MIAMI,FL,33125-3742,(786) 452-0597,N/A,14
"GRACE CARE FAMILY HOME, CORP",11966123,assisted_living,4221 W 5TH LN,HIALEAH,FL,33012-3811,(305) 557-0800,,6
GRANADA ALF LLC,11969293,assisted_living,11935 SW 49TH ST,MIAMI,FL,33175,(305) 972-0375,,6
GRAND LIVING AT CORAL GABLES,11970205,assisted_living,363 GRANELLO AVE,CORAL GABLES,FL,33146,(786) 688-6010,,130
GRANDA'S ADULT DAY CARE,12962231,assisted_living,16267 SW 88TH ST,MIAMI,FL,33196-4912,(305) 386-8356,,66
GRANDAD ELDERLY CORP,11964652,assisted_living,7520 SW 108TH AVE,MIAMI,FL,33173-2718,(305) 338-9881,,6
GRANDPARENTS ADULT DAY CARE CORP,12962487,assisted_living,1131 NW 22ND AVE,MIAMI,FL,33125-2738,(786) 401-6354,,35
"GRANNY'S GARDEN HOME ALF, LLC",11968679,assisted_living,11173 SW 112 TERRACE,MIAMI,FL,33176,(786) 250-3345,,6
GRANNYS ALF,11969697,assisted_living,3840 NW 184 ST,MIAMI GARDENS,FL,33055,(305) 974-2590,N/A,6
"GREEN STREET ALF, CORP",11968958,assisted_living,12262 SW 250 TERRACE,MIAMI,FL,33032,(786) 274-0144,,6
"GUARDIAN ELDER CARE SERVICES, INC. (THE)",11966064,assisted_living,8318 SW 162ND PL,MIAMI,FL,33193-5130,(305) 388-1655,,6
H&H SENIOR CARE LLC,11967094,assisted_living,17950 SW 155 COURT,MIAMI,FL,33187,(786) 429-3321,,6
H2 LIVE INC,11969758,assisted_living,16011 SW 144TH TERR,MIAMI,FL,33196,(954) 832-1284,,6
"HAINAT, INC",11964923,assisted_living,2435 SW 82 AVENUE,MIAMI,FL,33155,(305) 267-5404,,6
HAMPTON COURT NURSING AND REHABILITATION CENTER,111352,snf,16100 NW 2ND AVENUE,NORTH MIAMI BEACH,FL,33169,(305) 354-8800,www.hamptoncourtnursing.com,120
HAPPY DAYS ADULT DAY CARE LLC,12962245,assisted_living,1409 SW 22ND ST,MIAMI,FL,33145-2874,(305) 285-9070,www.happydaysadultdaycare.com,43
HAPPY FACE ADULT DAY CARE LLC,12962522,assisted_living,100 BEACOM BLVD,MIAMI,FL,33135-1534,(305) 264-1119,,30
HAPPY LIFE ALF INC,11967495,assisted_living,14785 COOLIDGE LN,HOMESTEAD,FL,33033-2710,(786) 504-8109,,6
HAPPY PARENTS ALF 1 INC,11969802,assisted_living,11871 SW 178TH TER,MIAMI,FL,33186,(305) 232-6514,,6
HAPPY PLACE GROUP HOME INC,11967425,assisted_living,12216 SW 10TH TERRACE,MIAMI,FL,33184,(786) 482-8291,,6
HAPPY TIMES ADULT DAY CARE CENTER CORP,12961801,assisted_living,50 W 29TH ST,HIALEAH,FL,33012-5776,(305) 805-1040,,52
HARMONY FAMILY HOME CARE,11966913,assisted_living,9245 SW 208TH TER,CUTLER BAY,FL,33189-3854,(786) 732-6685,,6
HARMONY HEALTH CENTER,111314,snf,9820 N KENDALL DRIVE,MIAMI,FL,33176,(305) 271-6311,harmonyhealth.care,203
HAVEN ADULT DAY CARE 2 LLC,12962916,assisted_living,14505 COMMERCE WY STE 300,MIAMI LAKES,FL,33016,(786) 558-4679,,30
HAVEN ADULT DAY CARE LLC,12962556,assisted_living,1401 E 4TH AVE STE 105,HIALEAH,FL,33010-3504,(786) 953-4642,,36
HAZEL CYPEN TOWER,11910963,assisted_living,5066 NE 2ND AVENUE,MIAMI,FL,33137,(305) 762-3890,www.miamijewishhealthsystems.org,132
"HC GOLDEN AGE ALF, CORP",11969083,assisted_living,15295 PALMETTO LAKE DR,MIAMI,FL,33157,(305) 215-1586,,6
HEALTH SHINE ALF LLC,11969882,assisted_living,2481 SW 145 AVE,MIAMI,FL,33175,(786) 536-2235,,6
HEALTHY FOREST LLC,11970705,assisted_living,17705 SW 218 ST,MIAMI,FL,33170,(786) 322-0603,,6
HEAVEN ASSISTED LIVING FACILITY INC,11967083,assisted_living,30136 SW 148TH PL,HOMESTEAD,FL,33033-3835,(305) 245-2290,,6
HEAVENLY ADULT DAY CARE INC,12962719,assisted_living,20 SE 4TH RD,HOMESTEAD,FL,33030-7301,(786) 601-7302,,70
"HEAVENLY HOME CARE OF FLORIDA, INC",11966548,assisted_living,17321 SW 109TH AVE,MIAMI,FL,33157-4039,(786) 256-5435,,6
HELPING HEARTS ADULT DAY CARE INC,12962554,assisted_living,425 W 25TH ST,HIALEAH,FL,33010-1332,(305) 887-1222,,40
HERMANOS VAZQUEZ ALF CORP,11968967,assisted_living,15578 SW 10TH ST,MIAMI,FL,33194,(786) 401-7846,,6
